514	fffd	0000	-3	0
515	fffc	0003	-4	3
516	fffc	fffd	-4	-3
517	fffa	0008	-6	8
518	fffd	ffff	-3	-1
519	fffd	0001	-3	1
520	fff6	ffec	-10	-20
521	ff99	fff8	-103	-8
522	fffd	ffff	-3	-1
523	fffc	0002	-4	2
524	fffb	fff9	-5	-7
525	fffb	0002	-5	2
526	fffc	fffd	-4	-3
527	fffc	ffff	-4	-1
528	fef2	002c	-270	44
529	fa66	0361	-1434	865
530	fffd	ffff	-3	-1
531	fffc	0002	-4	2
532	fffd	fffd	-3	-3
533	fffc	0004	-4	4
534	fffd	ffff	-3	-1
535	fffc	0001	-4	1
536	ffd0	ffe1	-48	-31
537	0007	0029	7	41
538	fffc	ffff	-4	-1
539	fffd	0002	-3	2
540	fffc	fff9	-4	-7
541	fffa	0003	-6	3
542	fffe	fffe	-2	-2
543	fffd	0000	-3	0
544	ff47	ffa2	-185	-94
545	fb1a	01f3	-1254	499
546	fffc	0000	-4	0
547	fffc	0003	-4	3
548	fffd	fffd	-3	-3
549	fff8	0013	-8	19
550	fffc	ffff	-4	-1
551	fffc	0000	-4	0
552	0000	fff7	0	-9
553	0000	003d	0	61
554	fffd	0000	-3	0
555	fffd	0002	-3	2
556	fffb	fffa	-5	-6
557	fff9	0003	-7	3
558	fffb	fffe	-5	-2
559	fffb	0000	-5	0
560	0088	fff7	136	-9
561	0037	0025	55	37
562	fffd	0000	-3	0
563	fffc	0002	-4	2
564	fffd	fffb	-3	-5
565	fffa	0004	-6	4
566	fffd	fffe	-3	-2
567	fffc	0000	-4	0
568	ffe2	0053	-30	83
569	ffd2	fff5	-46	-11
570	fffc	ffff	-4	-1
571	fffc	0002	-4	2
572	ffff	ffee	-1	-18
573	fffb	0002	-5	2
574	fffe	fffc	-2	-4
575	fffb	ffff	-5	-1
576	0241	01ce	577	462
577	01f2	fd81	498	-639
578	fffc	ffff	-4	-1
579	fffd	0000	-3	0
580	fffd	fffd	-3	-3
581	fff8	0008	-8	8
582	fffd	ffff	-3	-1
583	fffd	0000	-3	0
584	0001	ffd9	1	-39
585	fff2	ffed	-14	-19
586	fffc	fffe	-4	-2
587	fffb	0002	-5	2
588	fffb	fffa	-5	-6
589	fffa	0002	-6	2
590	fffd	fffd	-3	-3
591	fffc	ffff	-4	-1
592	0112	00b8	274	184
593	ffed	ffbe	-19	-66
594	fffc	0000	-4	0
595	fffc	0000	-4	0
596	fffc	fffc	-4	-4
597	fffb	0004	-5	4
598	fffd	ffff	-3	-1
599	fffb	0000	-5	0
600	001b	0012	27	18
601	fffe	000e	-2	14
602	fffd	ffff	-3	-1
603	fffc	0002	-4	2
604	fffd	fffa	-3	-6
605	fffc	0003	-4	3
606	fffd	fffe	-3	-2
607	fffc	0000	-4	0
608	ffd3	ffa4	-45	-92
609	f9d3	ff81	-1581	-127
610	fffd	0000	-3	0
611	fffc	0002	-4	2
612	fffd	fffc	-3	-4
613	fffb	0004	-5	4
614	fffd	ffff	-3	-1
615	fffc	0001	-4	1
616	fffd	fffd	-3	-3
617	0011	009a	17	154
618	fffd	fffe	-3	-2
619	fffb	0002	-5	2
620	fffc	fffa	-4	-6
621	fffb	0003	-5	3
622	fffd	fffd	-3	-3
623	fffd	0000	-3	0
624	fe54	ff85	-428	-123
625	000e	0091	14	145
626	fffc	ffff	-4	-1
627	fffd	0001	-3	1
628	fffc	fffb	-4	-5
629	fffb	0001	-5	1
630	fffd	fffd	-3	-3
631	fffd	ffff	-3	-1
632	ff8e	000d	-114	13
633	fffb	0015	-5	21
634	fffd	fffe	-3	-2
635	fffd	0001	-3	1
636	0001	fff6	1	-10
637	fffb	0001	-5	1
