713	ff86	0086	-122	134
714	fff5	fffe	-11	-2
715	fff5	0006	-11	6
716	fff2	ffed	-14	-19
717	fff3	000d	-13	13
718	fff6	fff9	-10	-7
719	fff5	0001	-11	1
720	0002	ff45	2	-187
721	fe8f	0002	-369	2
722	fff5	fffe	-11	-2
723	fff5	0007	-11	7
724	fff8	fff7	-8	-9
725	ffdd	002e	-35	46
726	fff6	fffa	-10	-6
727	fff4	0001	-12	1
728	ff88	000c	-120	12
729	ffdf	ffaa	-33	-86
730	fff5	fffc	-11	-4
731	fff4	0004	-12	4
732	001e	0002	30	2
733	ffef	000a	-17	10
734	fff0	fff6	-16	-10
735	fff4	0000	-12	0
736	001e	fd9b	30	-613
737	0106	ff21	262	-223
738	fff5	ffff	-11	-1
739	fff5	0008	-11	8
740	fff4	ffef	-12	-17
741	fff2	0014	-14	20
742	fff5	fffb	-11	-5
743	fff4	0003	-12	3
744	ffb2	ffc9	-78	-55
745	ffde	0094	-34	148
746	fff5	fffd	-11	-3
747	fff4	0005	-12	5
748	0013	fff8	19	-8
749	fff3	000d	-13	13
750	fff7	fff9	-9	-7
751	fff4	0000	-12	0
752	0018	ff06	24	-250
753	feee	00d8	-274	216
754	fff5	fffe	-11	-2
755	fff4	0006	-12	6
756	fff3	fff0	-13	-16
757	fff2	0011	-14	17
758	fff5	fff9	-11	-7
759	fff4	0002	-12	2
760	ff60	fe59	-160	-423
761	ffda	0024	-38	36
762	fff7	fffa	-9	-6
763	fff5	0004	-11	4
764	fff2	ffe8	-14	-24
765	fff3	0009	-13	9
766	fff5	fff6	-11	-10
767	fff4	ffff	-12	-1
768	026f	012a	623	298
769	026d	fed0	621	-304
770	fff5	0000	-11	0
771	fff4	000a	-12	10
772	fff4	fff6	-12	-10
773	fff2	0016	-14	22
774	fff6	fffb	-10	-5
775	fff7	0005	-9	5
776	ffdc	ffda	-36	-38
777	ff60	01a5	-160	421
778	fff5	fffd	-11	-3
779	fff4	0007	-12	7
780	fff3	ffef	-13	-17
781	fff3	000f	-13	15
782	fff5	fff9	-11	-7
783	fff5	0001	-11	1
784	fef0	ff26	-272	-218
785	0018	00f8	24	248
786	fff5	ffff	-11	-1
787	fff7	0007	-9	7
788	fff4	fff2	-12	-14
789	0014	0007	20	7
790	fff5	fffb	-11	-5
791	fff5	0002	-11	2
792	ffdf	ff6a	-33	-150
793	ffb1	0034	-79	52
794	fff5	fffc	-11	-4
795	fff5	0005	-11	5
796	fff4	ffeb	-12	-21
797	fff3	000f	-13	15
798	fff5	fff7	-11	-9
799	fff4	0000	-12	0
800	0107	00db	263	219
801	001d	0261	29	609
802	fff5	ffff	-11	-1
803	ffef	0009	-17	9
804	fff0	fff4	-16	-12
805	001f	fffb	31	-5
806	fff6	fffb	-10	-5
807	fff5	0002	-11	2
808	ffe1	0052	-31	82
809	ff87	fff0	-121	-16
810	fff5	fffe	-11	-2
811	fff5	0006	-11	6
812	ffde	ffd1	-34	-47
813	fff6	0008	-10	8
814	fff5	fff9	-11	-7
815	fff4	0001	-12	1
816	fe91	fffb	-367	-5
817	0001	00b9	1	185
818	fff5	fffe	-11	-2
819	fff5	0007	-11	7
820	fff3	fff2	-13	-14
821	fff0	0012	-16	18
822	fff5	fff9	-11	-7
823	fff5	0002	-11	2
824	ff87	ff79	-121	-135
825	fff2	0013	-14	19
826	fff5	fffa	-11	-6
827	fff4	0005	-12	5
828	fff6	fff4	-10	-12
829	fff1	0010	-15	16
830	fff4	fff6	-12	-10
831	fff4	ffff	-12	-1
832	0141	01e3	321	483
833	0063	057a	99	1402
834	fff5	0000	-11	0
835	fff4	0009	-12	9
836	fff3	fff7	-13	-9
837	fff1	000f	-15	15
838	fff5	fffc	-11	-4
839	fff4	0004	-12	4
840	fff9	ffdc	-7	-36
841	002e	011a	46	282
842	fff5	fffe	-11	-2
843	fff4	0006	-12	6
844	fff2	ffec	-14	-20
845	fff2	000d	-14	13
846	fff5	fff8	-11	-8
847	fff3	0001	-13	1
848	0171	fff0	369	-16
849	00a5	ffb2	165	-78
850	fff5	fffe	-11	-2
851	fff3	0007	-13	7
852	fff1	ffef	-15	-17
853	0013	ffff	19	-1
854	fff4	fff9	-12	-7
855	fff4	0002	-12	2
856	ffd1	002f	-47	47
857	ffef	0018	-17	24
858	fff5	fffd	-11	-3
859	fff5	0005	-11	5
860	ffe3	ffd2	-29	-46
861	fff7	000a	-9	10
862	fff4	fff8	-12	-8
863	fff4	0001	-12	1
864	060e	fde8	1550	-536
865	ff12	0155	-238	341
866	fff5	ffff	-11	-1
867	fff4	0008	-12	8
868	fff3	fff2	-13	-14
869	fff3	0015	-13	21
870	fff5	fffb	-11	-5
871	fff4	0003	-12	3
872	00e6	0131	230	305
873	ffde	ffd4	-34	-44
874	fff5	fffd	-11	-3
875	fff4	0005	-12	5
876	fff3	fff2	-13	-14
877	fff1	000e	-15	14
878	fff5	fff7	-11	-9
879	fff5	0001	-11	1
880	ff82	fec3	-126	-317
881	fec0	00f6	-320	246
882	fff4	fffe	-12	-2
883	fff4	0007	-12	7
884	fff3	fff0	-13	-16
885	fff1	0010	-15	16
886	fff5	fff9	-11	-7
887	fff4	0002	-12	2
888	ffc4	ff53	-60	-173
889	fff4	001a	-12	26
890	fff5	fffc	-11	-4
891	fff3	0005	-13	5
892	fff2	ffe3	-14	-29
893	fff3	0008	-13	8
894	fff4	fff5	-12	-11
895	fff4	ffff	-12	-1
896	063f	0170	1599	368
897	0280	0081	640	129
898	fff5	0000	-11	0
899	fff3	0009	-13	9
900	fff6	fff5	-10	-11
901	ffe9	001e	-23	30
902	fff6	fffd	-10	-3
903	fff6	0003	-10	3
904	fff1	ffd0	-15	-48
905	ffe9	007a	-23	122
906	fff5	fffd	-11	-3
907	fff5	0006	-11	6
908	fff2	fff1	-14	-15
909	fff3	000e	-13	14
910	fff4	fff8	-12	-8
911	fff5	0000	-11	0
912	fea4	00b3	-348	179
913	0074	ff31	116	-207
914	fff6	ffff	-10	-1
915	fff4	0007	-12	7
916	fff3	fff3	-13	-13
917	fff4	000f	-12	15
918	fff5	fffb	-11	-5
919	fff6	0002	-10	2
920	fe7d	ff54	-387	-172
921	fff0	ffde	-16	-34
922	fff5	fffd	-11	-3
923	fff6	0006	-10	6
924	fff5	ffe6	-11	-26
925	fff4	000a	-12	10
926	fff5	fff7	-11	-9
927	fff5	0000	-11	0
928	f70f	fc3f	-2289	-961
929	fe5b	0208	-421	520
930	fff5	ffff	-11	-1
931	fff5	0009	-11	9
932	fff4	fff3	-12	-13
