0	ff04	ffc2	-252	-62
799	0004	fffe	4	-2
800	ffa1	01e4	-95	484
801	00f8	0085	248	133
802	0004	0000	4	0
803	0003	fffc	3	-4
804	0004	0004	4	4
805	0015	ffef	21	-17
806	0004	0002	4	2
807	0004	fffd	4	-3
808	0010	002e	16	46
809	ffc1	ffca	-63	-54
810	0004	0000	4	0
811	0004	fffa	4	-6
812	0002	0006	2	6
813	0004	fff8	4	-8
814	0003	0004	3	4
815	0004	fffe	4	-2
816	ffd8	00bf	-40	191
817	ff75	fff8	-139	-8
818	0004	0000	4	0
819	0004	fffb	4	-5
820	0003	0005	3	5
821	0003	fff7	3	-9
822	0005	0002	5	2
823	0004	fffe	4	-2
824	0061	0036	97	54
825	0006	fff5	6	-11
826	0005	0000	5	0
827	0004	fffe	4	-2
828	0004	000b	4	11
829	0004	fff9	4	-7
830	0005	0003	5	3
831	0004	0000	4	0
832	fd67	fc83	-665	-893
833	effd	fbd5	-4099	-1067
834	0004	0000	4	0
835	0004	fffb	4	-5
836	0004	0005	4	5
837	0005	fff2	5	-14
838	0003	0001	3	1
839	0003	fffc	3	-4
840	0005	0006	5	6
841	ff4b	ffcb	-181	-53
842	0004	0000	4	0
843	0004	fffb	4	-5
844	0002	0007	2	7
845	0003	fff7	3	-9
846	0004	0003	4	3
847	0003	fffe	3	-2
848	0007	002f	7	47
849	ff2c	00a1	-212	161
850	0004	0000	4	0
851	0003	fffb	3	-5
852	0003	0004	3	4
853	0003	fff6	3	-10
854	0001	0001	1	1
855	0004	fffd	4	-3
856	008a	000a	138	10
857	0006	ffe5	6	-27
858	0004	0001	4	1
859	0004	fffb	4	-5
860	0004	000a	4	10
861	0002	fff8	2	-8
862	0004	0002	4	2
863	0004	ffff	4	-1
864	fef8	01ed	-264	493
865	ffbe	003e	-66	62
866	0004	0000	4	0
867	0004	fffb	4	-5
868	0003	0004	3	4
869	0006	fff6	6	-10
870	0004	0001	4	1
871	0005	fffe	5	-2
872	ffd5	ffc3	-43	-61
873	0012	ffec	18	-20
874	0004	0000	4	0
875	0004	fffc	4	-4
876	0003	0007	3	7
877	0004	fff8	4	-8
878	0003	0002	3	2
879	0004	fffe	4	-2
880	00b1	01b0	177	432
881	0091	016d	145	365
882	0004	0000	4	0
883	0004	fffb	4	-5
884	0003	0006	3	6
885	ffff	fff7	-1	-9
886	0004	0002	4	2
887	0005	fffd	5	-3
888	ffca	0016	-54	22
889	000c	fffc	12	-4
890	0003	0001	3	1
891	0004	ffff	4	-1
892	0002	000e	2	14
893	0004	fffa	4	-6
894	0003	0003	3	3
895	0005	0000	5	0
896	fea2	ff64	-350	-156
897	053b	024e	1339	590
898	0004	0000	4	0
899	0004	fffb	4	-5
900	0003	0003	3	3
901	0004	0001	4	1
902	0004	0001	4	1
903	0003	fffd	3	-3
904	fffe	0004	-2	4
905	0026	002b	38	43
906	0004	0000	4	0
907	0004	fffb	4	-5
908	0003	0004	3	4
909	0003	fff8	3	-8
910	0003	0001	3	1
911	0004	fffe	4	-2
912	00a5	0158	165	344
913	ffc9	fda3	-55	-605
914	0004	0000	4	0
915	0004	fffb	4	-5
916	0003	0005	3	5
917	0004	fff6	4	-10
918	0004	0002	4	2
919	0004	fffd	4	-3
920	0042	0096	66	150
921	000d	0000	13	0
922	0004	0000	4	0
923	0004	fffd	4	-3
924	0002	0007	2	7
925	0004	fff8	4	-8
926	0004	0002	4	2
927	0004	fffe	4	-2
928	fc0d	062c	-1011	1580
929	ff5a	0029	-166	41
930	0004	0000	4	0
931	0004	fffb	4	-5
932	0003	0003	3	3
933	0001	fff6	1	-10
934	0003	0001	3	1
935	0004	fffc	4	-4
936	0007	000f	7	15
937	0007	0003	7	3
938	0004	0000	4	0
939	0006	fffd	6	-3
940	0004	0007	4	7
941	0003	fff8	3	-8
942	0004	0003	4	3
943	0004	ffff	4	-1
944	ff40	0000	-192	0
945	fe09	0119	-503	281
946	0004	0000	4	0
947	0004	fffc	4	-4
948	0003	0009	3	9
949	0004	fff5	4	-11
950	0004	0001	4	1
951	0004	fffd	4	-3
952	ff8c	0061	-116	97
953	0006	ffe1	6	-31
954	0002	0000	2	0
955	0003	fffc	3	-4
956	0004	000b	4	11
957	0002	fffa	2	-6
958	0003	0003	3	3
959	0004	fffe	4	-2
960	0036	016d	54	365
961	feb5	0243	-331	579
962	0004	0000	4	0
963	0004	fffa	4	-6
964	0004	0004	4	4
965	0006	fff1	6	-15
966	0004	0002	4	2
967	0004	fffd	4	-3
968	fffd	001d	-3	29
969	0036	ffbd	54	-67
970	0004	0000	4	0
971	0004	fffc	4	-4
972	0004	0007	4	7
973	0002	fff7	2	-9
974	0003	0003	3	3
975	0004	fffe	4	-2
976	0038	0049	56	73
977	0016	ff92	22	-110
978	0003	0000	3	0
979	0005	fffb	5	-5
980	0002	0002	2	2
981	0004	fff5	4	-11
982	0004	0001	4	1
983	0005	fffd	5	-3
984	fff7	003a	-9	58
985	fffa	fffa	-6	-6
986	0004	0001	4	1
987	0004	fffd	4	-3
988	0005	0005	5	5
989	0003	fff9	3	-7
990	0004	0005	4	5
991	0003	fffe	3	-2
992	0666	0545	1638	1349
993	0047	ff58	71	-168
994	0004	0000	4	0
995	0005	fffb	5	-5
996	0006	0004	6	4
997	ffff	fff6	-1	-10
998	0004	0002	4	2
999	0004	fffe	4	-2
1000	001c	fffc	28	-4
1001	001d	ffd7	29	-41
1002	0003	0000	3	0
1003	0004	fffd	4	-3
1004	0003	0005	3	5
1005	0004	fff7	4	-9
1006	0004	0003	4	3
1007	0005	ffff	5	-1
1008	fcc2	fc86	-830	-890
1009	007a	ffe5	122	-27
1010	0004	0000	4	0
1011	0004	fffd	4	-3
1012	0003	0005	3	5
1013	0004	fff7	4	-9
1014	0003	0002	3	2
1015	0004	ffff	4	-1
1016	ffc5	ff82	-59	-126
1017	ffff	ffeb	-1	-21
1018	0004	0001	4	1
1019	0002	fffe	2	-2
1020	0008	0018	8	24
1021	0004	fffb	4	-5
1022	0005	0004	5	4
1023	0005	0000	5	0
