611	fffa	0006	-6	6
612	fff9	fff8	-7	-8
613	fffb	000b	-5	11
614	fffb	fffc	-5	-4
615	fff9	0001	-7	1
616	fffb	fff5	-5	-11
617	ff93	0016	-109	22
618	fffa	fffd	-6	-3
619	fffa	0003	-6	3
620	fffa	fff5	-6	-11
621	fff9	0006	-7	6
622	fff9	fffb	-7	-5
623	fff9	0001	-7	1
624	004f	ff2e	79	-210
625	ffd8	001e	-40	30
626	fffa	ffff	-6	-1
627	fffb	0004	-5	4
628	fffa	fff5	-6	-11
629	fff9	0008	-7	8
630	fffa	fffb	-6	-5
631	fff9	0001	-7	1
632	ffb0	fffe	-80	-2
633	fffb	0012	-5	18
634	fff9	fffd	-7	-3
635	fffa	0003	-6	3
636	fffc	fffc	-4	-4
637	fffa	0006	-6	6
638	fffa	fffa	-6	-6
639	fff9	0000	-7	0
640	ff64	fcd4	-156	-812
641	fffc	fde1	-4	-543
642	fffa	ffff	-6	-1
643	fff9	0006	-7	6
644	fff9	fffa	-7	-6
645	fff8	000d	-8	13
646	fff9	fffc	-7	-4
647	fffa	0002	-6	2
648	fff5	ffeb	-11	-21
649	0049	0023	73	35
650	fffa	ffff	-6	-1
651	fffa	0003	-6	3
652	fff9	fff6	-7	-10
653	fffa	0007	-6	7
654	fff9	fffb	-7	-5
655	fff8	0000	-8	0
656	0195	ffff	405	-1
657	fe98	00bd	-360	189
658	fffa	ffff	-6	-1
659	fffb	0005	-5	5
660	fff9	fff7	-7	-9
661	fff9	000b	-7	11
662	fffb	fffc	-5	-4
663	fff9	0001	-7	1
664	000a	fff5	10	-11
665	0001	ffda	1	-38
666	fffa	fffe	-6	-2
667	fff9	0003	-7	3
668	fffb	fff6	-5	-10
669	fff8	0006	-8	6
670	fffa	fffa	-6	-6
671	fff8	ffff	-8	-1
672	0064	0054	100	84
673	02bf	ff54	703	-172
674	fffa	ffff	-6	-1
675	fff9	0006	-7	6
676	fff9	fff9	-7	-7
677	fff8	0008	-8	8
678	fffa	fffd	-6	-3
679	fffa	0002	-6	2
680	fff0	ffea	-16	-22
681	ffa9	0029	-87	41
682	fffb	fffd	-5	-3
683	fff9	0003	-7	3
684	fffe	fff0	-2	-16
685	fff8	0008	-8	8
686	fff9	fffb	-7	-5
687	fff9	0001	-7	1
688	0088	ffdc	136	-36
689	ff5d	008c	-163	140
690	fffa	fffe	-6	-2
691	fff9	0004	-7	4
692	fffa	fff8	-6	-8
693	fffb	0008	-5	8
694	fffa	fffb	-6	-5
695	fff9	0000	-7	0
696	0020	008b	32	139
697	fffd	0018	-3	24
698	fffa	fffd	-6	-3
699	fffa	0003	-6	3
700	fffd	fff2	-3	-14
701	fffa	0005	-6	5
702	fff9	fffa	-7	-6
703	fffa	fffe	-6	-2
704	f71d	0c6c	-2275	3180
705	001d	017b	29	379
706	fffa	ffff	-6	-1
707	fffa	0006	-6	6
708	fff9	fff9	-7	-7
709	fffe	0010	-2	16
710	fffb	fffc	-5	-4
711	fffa	0001	-6	1
712	fffa	ffdf	-6	-33
713	ffdb	0078	-37	120
714	fff9	ffff	-7	-1
715	fffa	0004	-6	4
716	fffa	fff4	-6	-12
717	fffa	0006	-6	6
718	fffa	fffb	-6	-5
719	fff8	0000	-8	0
720	ffe7	ffed	-25	-19
721	fed6	0169	-298	361
722	fff9	ffff	-7	-1
723	fff9	0004	-7	4
724	fffa	fff8	-6	-8
725	fffb	000a	-5	10
726	fff9	fffd	-7	-3
727	fff8	0001	-8	1
728	002e	0011	46	17
729	000a	0007	10	7
730	fffa	fffe	-6	-2
731	fff8	0003	-8	3
732	0006	fff0	6	-16
733	fff9	0007	-7	7
734	fffa	fff9	-6	-7
735	fffa	0000	-6	0
736	ffc8	fd94	-56	-620
737	0005	fe6c	5	-404
738	fffa	0000	-6	0
739	fff9	0005	-7	5
740	fffb	fff8	-5	-8
741	fff8	000a	-8	10
742	fffa	fffd	-6	-3
743	fffb	0001	-5	1
744	ffe6	ffd2	-26	-46
745	001e	001a	30	26
746	fffa	fffd	-6	-3
747	fff9	0003	-7	3
748	fffa	fff4	-6	-12
749	fff9	0006	-7	6
750	fffa	fffa	-6	-6
751	fff9	0000	-7	0
752	0005	ff67	5	-153
753	0097	ff85	151	-123
754	fffb	fffe	-5	-2
755	fff9	0004	-7	4
756	fffc	fff5	-4	-11
757	fffa	000a	-6	10
758	fffa	fffc	-6	-4
759	fff9	0001	-7	1
760	006f	ff37	111	-201
761	fff6	0010	-10	16
762	fffa	fffe	-6	-2
763	fff9	0003	-7	3
764	fff6	fff0	-10	-16
765	fff9	0005	-7	5
766	fff9	fff8	-7	-8
767	fff9	ffff	-7	-1
768	fcf1	02f9	-783	761
769	fcee	fd01	-786	-767
770	fffa	ffff	-6	-1
771	fff8	0006	-8	6
772	fff9	fff9	-7	-7
773	fff5	000f	-11	15
774	fffa	fffd	-6	-3
775	fffa	0002	-6	2
776	fff7	ffee	-9	-18
777	006f	00c7	111	199
778	fffa	fffe	-6	-2
779	fff9	0004	-7	4
780	fffa	fff5	-6	-11
781	fffa	0009	-6	9
782	fffa	fffb	-6	-5
783	fff9	0000	-7	0
784	0097	0076	151	118
785	0004	0096	4	150
786	fff9	ffff	-7	-1
787	fff9	0006	-7	6
788	fffa	fff8	-6	-8
789	fff9	000b	-7	11
790	fff9	fffd	-7	-3
791	fff9	0002	-7	2
792	001d	ffe4	29	-28
793	ffe4	002c	-28	44
794	fffb	fffe	-5	-2
795	fff9	0003	-7	3
796	fff8	fff5	-8	-11
797	fff9	0006	-7	6
798	fff9	fffa	-7	-6
799	fff9	ffff	-7	-1
800	0006	018f	6	399
801	ffc6	026a	-58	618
802	fffa	0000	-6	0
803	fff9	0007	-7	7
804	fff9	fff8	-7	-8
805	0007	000f	7	15
806	fffa	fffc	-6	-4
807	fffa	0001	-6	1
808	000a	fff7	10	-9
809	002f	ffec	47	-20
810	fffa	fffe	-6	-2
811	fff9	0003	-7	3
812	fffc	fff5	-4	-11
813	fff9	0008	-7	8
814	fffa	fffb	-6	-5
815	fff9	0001	-7	1
816	fed8	fe95	-296	-363
817	ffe6	0011	-26	17
818	fff9	ffff	-7	-1
819	fffa	0004	-6	4
820	fffb	fff8	-5	-8
821	fff9	000b	-7	11
822	fffb	fffc	-5	-4
823	fffa	0001	-6	1
824	ffdc	ff86	-36	-122
825	fffa	001f	-6	31
826	fffb	fffe	-5	-2
827	fffb	0003	-5	3
828	ffff	ffee	-1	-18
829	fff8	0006	-8	6
830	fffb	fffa	-5	-6
831	fff9	0000	-7	0
832	001e	fe82	30	-382
833	f71b	f38f	-2277	-3185
834	fffa	ffff	-6	-1
835	fffa	0005	-6	5
836	fffb	fffa	-5	-6
837	fffc	000d	-4	13
838	fffa	fffd	-6	-3
839	fffa	0002	-6	2
840	fffe	ffe6	-2	-26
841	0021	ff71	33	-143
842	fffa	fffe	-6	-2
843	fffa	0005	-6	5
844	fffb	fff7	-5	-9
845	fff9	0008	-7	8
846	fffa	fffc	-6	-4
847	fffa	0001	-6	1
848	ff5f	ff72	-161	-142
849	0089	0022	137	34
850	fffa	ffff	-6	-1
851	fff9	0004	-7	4
852	fffa	fff7	-6	-9
853	fffd	000e	-3	14
854	fff9	fffd	-7	-3
855	fffa	0002	-6	2
856	ffaa	ffd4	-86	-44
857	ffef	0014	-17	20
858	fffa	fffe	-6	-2
859	fff9	0003	-7	3
860	fff9	fff7	-7	-9
861	fff7	0006	-9	6
862	fff9	fff9	-7	-7
863	fff9	ffff	-7	-1
864	02bf	00a7	703	167
865	0064	ffa7	100	-89
866	fffa	0000	-6	0
867	fffa	0005	-6	5
868	fffa	fff8	-6	-8
869	fffa	0008	-6	8
870	fffa	fffc	-6	-4
871	fffa	0001	-6	1
872	0002	0022	2	34
873	000a	0009	10	9
874	fffa	fffe	-6	-2
875	fffb	0003	-5	3
876	fffa	fff4	-6	-12
877	fff8	0008	-8	8
878	fffb	fffa	-5	-6
879	fff9	0000	-7	0
880	fe99	ff41	-359	-191
881	0195	fffe	405	-2
882	fffa	ffff	-6	-1
883	fff9	0004	-7	4
884	fffb	fff7	-5	-9
885	fff9	0009	-7	9
886	fffb	fffd	-5	-3
887	fff9	0001	-7	1
888	0049	ffdb	73	-37
889	fff3	0013	-13	19
890	fffa	fffd	-6	-3
891	fff8	0003	-8	3
892	fff8	fff1	-8	-15
893	fff9	0005	-7	5
894	fffa	fff9	-6	-7
895	fff9	ffff	-7	-1
896	fffe	021a	-2	538
897	ff61	0328	-159	808
898	fffa	ffff	-6	-1
899	fff9	0006	-7	6
900	fffa	fff9	-6	-7
901	fffb	0002	-5	2
902	fffa	fffd	-6	-3
903	fff8	0002	-8	2
904	fffc	ffed	-4	-19
905	ffaf	ffff	-81	-1
906	fffa	fffe	-6	-2
907	fff9	0004	-7	4
908	fffa	fff6	-6	-10
909	fff9	000a	-7	10
910	fffb	fffc	-5	-4
911	fff9	0001	-7	1
912	ffda	ffe0	-38	-32
913	004f	00d0	79	208
914	fffa	ffff	-6	-1
915	fff9	0005	-7	5
916	fffb	fff9	-5	-7
917	fff9	000a	-7	10
918	fffa	fffd	-6	-3
919	fff9	0002	-7	2
920	ff94	ffe8	-108	-24
921	fffa	0009	-6	9
922	fffa	fffe	-6	-2
923	fffb	0003	-5	3
924	fffc	fff3	-4	-13
925	fff9	0007	-7	7
926	fffa	fffa	-6	-6
927	fff9	0000	-7	0
928	fae0	fc7a	-1312	-902
929	0127	ff56	295	-170
930	fff9	ffff	-7	-1
931	fffa	0005	-6	5
932	fff9	fff9	-7	-7
933	fff9	000a	-7	10
934	fffa	fffd	-6	-3
935	fff9	0002	-7	2
936	0010	ffed	16	-19
937	ffc1	0048	-63	72
938	fffa	fffe	-6	-2
939	fff9	0004	-7	4
940	fffb	fff6	-5	-10
