771	0000	ffff	0	-1
772	0000	ffff	0	-1
773	0008	fff7	8	-9
774	0000	0000	0	0
775	0000	ffff	0	-1
776	ffe4	0015	-28	21
777	ff99	fff6	-103	-10
778	0000	0000	0	0
779	0000	ffff	0	-1
780	0000	0000	0	0
781	0001	fffe	1	-2
782	0000	0000	0	0
783	ffff	0000	-1	0
784	00aa	0000	170	0
785	ff94	0080	-108	128
786	0000	ffff	0	-1
787	0000	ffff	0	-1
788	0000	0000	0	0
789	0006	fff9	6	-7
790	0000	0000	0	0
791	0000	ffff	0	-1
792	ffef	fffe	-17	-2
793	ffc8	fff2	-56	-14
794	0000	ffff	0	-1
795	0000	ffff	0	-1
796	0000	000b	0	11
797	0000	ffff	0	-1
798	0000	ffff	0	-1
799	ffff	ffff	-1	-1
800	0055	0019	85	25
801	ffa7	00cb	-89	203
802	0000	0000	0	0
803	0000	0000	0	0
804	0000	0000	0	0
805	fff7	0029	-9	41
806	0000	0000	0	0
807	0000	ffff	0	-1
808	ffef	0005	-17	5
809	0051	002b	81	43
810	0000	0000	0	0
811	0000	ffff	0	-1
812	0001	0000	1	0
813	0001	fffe	1	-2
814	0000	0000	0	0
815	ffff	ffff	-1	-1
816	0009	0056	9	86
817	ffcb	fff5	-53	-11
818	0000	0000	0	0
819	0000	ffff	0	-1
820	0000	0000	0	0
821	0001	fffd	1	-3
822	0000	ffff	0	-1
823	0000	fffe	0	-2
824	ffd8	00a8	-40	168
825	0016	fffa	22	-6
826	0000	0000	0	0
827	0000	ffff	0	-1
828	fffe	000b	-2	11
829	0000	ffff	0	-1
830	0000	ffff	0	-1
831	ffff	ffff	-1	-1
832	001b	0105	27	261
833	02ef	0031	751	49
834	0000	0000	0	0
835	0000	0000	0	0
836	0000	0000	0	0
837	0000	fff4	0	-12
838	0000	0000	0	0
839	0000	ffff	0	-1
840	fffb	000b	-5	11
841	0046	ff9f	70	-97
842	0000	0000	0	0
843	0000	ffff	0	-1
844	0000	0000	0	0
845	0000	fffe	0	-2
846	0000	0000	0	0
847	0000	ffff	0	-1
848	ffc0	0052	-64	82
849	ffb9	0072	-71	114
850	0000	0000	0	0
851	ffff	ffff	-1	-1
852	0000	0000	0	0
853	fff5	ffff	-11	-1
854	0000	0000	0	0
855	0000	0000	0	0
856	0032	ffdf	50	-33
857	0005	001e	5	30
858	0000	0000	0	0
859	0000	ffff	0	-1
860	fffe	001e	-2	30
861	0000	fffe	0	-2
862	0000	0000	0	0
863	0000	ffff	0	-1
864	fe43	0190	-445	400
865	ffba	ff82	-70	-126
866	0000	0000	0	0
867	0000	0000	0	0
868	0000	0000	0	0
869	ffff	fffc	-1	-4
870	0000	0000	0	0
871	ffff	ffff	-1	-1
872	005b	003f	91	63
873	ffc2	002a	-62	42
874	0000	0000	0	0
875	0000	ffff	0	-1
876	0000	0000	0	0
877	0000	fffe	0	-2
878	0000	0000	0	0
879	ffff	ffff	-1	-1
880	001b	0077	27	119
881	007b	ff82	123	-126
882	0000	0000	0	0
883	0000	ffff	0	-1
884	0000	0000	0	0
885	0003	0009	3	9
886	0000	ffff	0	-1
887	ffff	ffff	-1	-1
888	0017	0056	23	86
889	ffe6	001c	-26	28
890	0000	ffff	0	-1
891	ffff	ffff	-1	-1
892	000b	0006	11	6
893	0000	ffff	0	-1
894	0000	0000	0	0
895	0000	ffff	0	-1
896	ffd7	0084	-41	132
897	0045	ffca	69	-54
898	0000	0000	0	0
899	0000	0000	0	0
900	0000	0000	0	0
901	fff7	0002	-9	2
902	0000	0000	0	0
903	ffff	ffff	-1	-1
904	000d	ffe6	13	-26
905	0015	ff9e	21	-98
906	0000	0000	0	0
907	0000	ffff	0	-1
908	0001	0010	1	16
909	0000	fffe	0	-2
910	0000	0000	0	0
911	ffff	ffff	-1	-1
912	0062	013a	98	314
913	fff7	004a	-9	74
914	0000	0000	0	0
915	0000	0000	0	0
916	0000	0000	0	0
917	fffa	fffb	-6	-5
918	0000	0000	0	0
919	ffff	0000	-1	0
920	005a	ffa7	90	-89
921	001e	0031	30	49
922	0000	0000	0	0
923	0000	ffff	0	-1
924	fffc	0002	-4	2
925	0000	ffff	0	-1
926	0000	0000	0	0
927	0000	ffff	0	-1
928	ff19	0073	-231	115
929	014b	fff2	331	-14
930	0000	0000	0	0
931	0000	0000	0	0
932	0000	0000	0	0
933	fffe	fffe	-2	-2
934	0000	0000	0	0
935	0000	ffff	0	-1
936	fffb	ffe0	-5	-32
937	001f	000c	31	12
938	0000	0000	0	0
939	0000	0000	0	0
940	0011	fffd	17	-3
941	0001	ffff	1	-1
942	0000	0000	0	0
943	0000	0000	0	0
944	ffce	ffe9	-50	-23
945	febf	ff0a	-321	-246
946	0000	0000	0	0
947	0000	ffff	0	-1
948	0000	0000	0	0
949	0000	0005	0	5
950	0000	0000	0	0
951	0000	ffff	0	-1
952	ffef	0000	-17	0
953	0004	0001	4	1
954	0000	0000	0	0
955	0000	0000	0	0
956	0012	fffd	18	-3
957	0000	ffff	0	-1
958	0000	0000	0	0
959	0000	ffff	0	-1
960	fed4	00f9	-300	249
961	00b1	01de	177	478
962	0000	0000	0	0
963	0000	0000	0	0
964	0000	0000	0	0
965	fffe	0010	-2	16
966	0000	0000	0	0
967	0001	ffff	1	-1
968	fff5	ffea	-11	-22
969	0126	0051	294	81
970	0000	ffff	0	-1
971	0000	ffff	0	-1
972	0000	0000	0	0
973	0001	fffe	1	-2
974	0000	0000	0	0
975	0000	ffff	0	-1
976	ff32	ffca	-206	-54
977	ff7f	0048	-129	72
978	0000	0000	0	0
979	0000	ffff	0	-1
980	0000	0000	0	0
981	0002	fffe	2	-2
982	0000	0000	0	0
983	0000	ffff	0	-1
984	ffe2	0039	-30	57
985	fff6	ffff	-10	-1
986	0000	0000	0	0
987	0000	0000	0	0
988	0011	fff7	17	-9
989	0000	ffff	0	-1
990	0000	0000	0	0
991	0000	0000	0	0
992	fe93	fe89	-365	-375
993	010d	ffc5	269	-59
994	0000	0000	0	0
995	ffff	ffff	-1	-1
996	0000	0000	0	0
997	0003	000e	3	14
998	0000	0000	0	0
999	ffff	ffff	-1	-1
1000	000a	fffe	10	-2
1001	fff1	0000	-15	0
1002	0000	0000	0	0
1003	0000	ffff	0	-1
1004	fffa	0004	-6	4
1005	0001	ffff	1	-1
1006	0000	0000	0	0
1007	0000	0000	0	0
1008	ffe2	ff5a	-30	-166
1009	0024	0063	36	99
1010	0000	0000	0	0
1011	0000	ffff	0	-1
1012	0000	0000	0	0
