771	0013	ffec	19	-20
772	0014	0013	20	19
773	001e	ffc5	30	-59
774	0013	0007	19	7
775	0012	fff8	18	-8
776	0015	0028	21	40
777	004f	ff61	79	-159
778	0013	0002	19	2
779	0014	fff2	20	-14
780	0013	001f	19	31
781	0013	ffe1	19	-31
782	0013	000b	19	11
783	0013	fffb	19	-5
784	ffcf	0064	-49	100
785	ffc6	ff2e	-58	-210
786	0013	0001	19	1
787	0013	ffef	19	-17
788	0013	0016	19	22
789	001e	ffe2	30	-30
790	0012	000a	18	10
791	0013	fffa	19	-6
792	0008	ffe9	8	-23
793	0059	ffdf	89	-33
794	0012	0005	18	5
795	0013	fff5	19	-11
796	0011	0024	17	36
797	0013	ffe7	19	-25
798	0013	000f	19	15
799	0012	fffd	18	-3
800	0085	0268	133	616
801	00f2	03e4	242	996
802	0012	0000	18	0
803	0011	ffee	17	-18
804	0012	0012	18	18
805	fffa	0007	-6	7
806	0013	0009	19	9
807	0013	fff8	19	-8
808	001c	ffe1	28	-31
809	004a	000f	74	15
810	0013	0004	19	4
811	0013	fff4	19	-12
812	0026	001d	38	29
813	0014	ffe5	20	-27
814	0014	000f	20	15
815	0012	fffc	18	-4
816	004a	017a	74	378
817	ffe0	ffb8	-32	-72
818	0013	0001	19	1
819	0012	ffef	18	-17
820	0013	0019	19	25
821	0019	ffdf	25	-33
822	0013	000b	19	11
823	0012	fffa	18	-6
824	fffb	ffb7	-5	-73
825	001f	ffbc	31	-68
826	0012	0005	18	5
827	0013	fff7	19	-9
828	0011	001b	17	27
829	0010	ffea	16	-22
830	0013	0010	19	16
831	0012	fffe	18	-2
832	0058	05f9	88	1529
833	f8e0	0e8f	-1824	3727
834	0012	0000	18	0
835	0012	ffed	18	-19
836	0012	0012	18	18
837	000c	ffdd	12	-35
838	0012	0007	18	7
839	0012	fff8	18	-8
840	001c	005a	28	90
841	0016	00ac	22	172
842	0013	0003	19	3
843	0014	fff3	20	-13
844	0016	001d	22	29
845	0013	ffe4	19	-28
846	0014	000d	20	13
847	0012	fffc	18	-4
848	fef3	00d7	-269	215
849	0158	ff8a	344	-118
850	0013	0002	19	2
851	0013	fff1	19	-15
852	0011	0018	17	24
853	fffa	ffd3	-6	-45
854	0013	0009	19	9
855	0013	fff9	19	-7
856	ffc7	0049	-57	73
857	0014	ffed	20	-19
858	0013	0005	19	5
859	0013	fff6	19	-10
860	0026	002f	38	47
861	0011	ffe7	17	-25
862	0014	000f	20	15
863	0013	fffd	19	-3
864	fedf	0573	-289	1395
865	ff7c	fef3	-132	-269
866	0012	0000	18	0
867	0013	ffef	19	-17
868	0012	0016	18	22
869	0011	ffd6	17	-42
870	0013	0008	19	8
871	0014	fff8	20	-8
872	ff60	0072	-160	114
873	001f	fff4	31	-12
874	0013	0003	19	3
875	0013	fff4	19	-12
876	0011	0022	17	34
877	0015	ffe7	21	-25
878	0013	000e	19	14
879	0013	fffc	19	-4
880	feef	016b	-273	363
881	ffe9	ff99	-23	-103
882	0013	0003	19	3
883	0013	fff2	19	-14
884	0014	0019	20	25
885	0013	ffdf	19	-33
886	0012	000c	18	12
887	0013	fffb	19	-5
888	0050	002b	80	43
889	002f	ffcd	47	-51
890	0014	0006	20	6
891	0013	fff7	19	-9
892	0023	003b	35	59
893	0013	ffeb	19	-21
894	0014	0012	20	18
895	0013	0000	19	0
896	fdab	fb7a	-597	-1158
897	ff71	fac1	-143	-1343
898	0013	0000	19	0
899	0012	ffee	18	-18
900	0012	0011	18	17
901	0018	ffdd	24	-35
902	0013	0008	19	8
903	0013	fff9	19	-7
904	001a	003b	26	59
905	0051	ffcb	81	-53
906	0013	0003	19	3
907	0013	fff2	19	-14
908	000f	0021	15	33
909	0013	ffe3	19	-29
910	0013	000c	19	12
911	0012	fffc	18	-4
912	01db	004d	475	77
913	ff04	fd2d	-252	-723
914	0013	0001	19	1
915	0012	fff0	18	-16
916	0014	0016	20	22
917	0011	ffdd	17	-35
918	0013	0009	19	9
919	0012	fffa	18	-6
920	fff0	0123	-16	291
921	ffe0	ffc7	-32	-57
922	0012	0005	18	5
923	0012	fff5	18	-11
924	0012	0025	18	37
925	0015	ffe8	21	-24
926	0014	0010	20	16
927	0013	fffe	19	-2
928	fdab	fae3	-597	-1309
929	ffe9	fbbc	-23	-1092
930	0012	0000	18	0
931	0012	ffed	18	-19
932	0012	0015	18	21
933	0013	ffd6	19	-42
934	0013	0008	19	8
935	0014	fff9	20	-7
936	0015	003e	21	62
937	0039	ffb7	57	-73
938	0013	0004	19	4
939	0015	fff6	21	-10
940	000f	001e	15	30
941	0012	ffe6	18	-26
942	0013	000e	19	14
943	0013	fffc	19	-4
944	fdf2	0046	-526	70
945	fbb1	ffce	-1103	-50
946	0012	0001	18	1
947	0013	fff1	19	-15
948	0012	0017	18	23
949	0011	ffe5	17	-27
950	0012	000b	18	11
951	0011	fff9	17	-7
