454	fffe	ffff	-2	-1
455	fffc	0001	-4	1
456	000e	ffe4	14	-28
457	fffe	ff57	-2	-169
458	fffe	ffff	-2	-1
459	fffd	0002	-3	2
460	fffe	fffb	-2	-5
461	fffc	0001	-4	1
462	fffe	fffd	-2	-3
463	fffc	ffff	-4	-1
464	0212	0140	530	320
465	ffe0	00a0	-32	160
466	fffe	0000	-2	0
467	fffe	0001	-2	1
468	fffd	fffd	-3	-3
469	fff9	0002	-7	2
470	0000	ffff	0	-1
471	fffd	ffff	-3	-1
472	ffe7	0001	-25	1
473	0011	ffed	17	-19
474	fffe	ffff	-2	-1
475	fffd	0001	-3	1
476	fff9	fffb	-7	-5
477	fffd	0001	-3	1
478	ffff	fffd	-1	-3
479	fffd	0000	-3	0
480	fe5d	fba0	-419	-1120
481	0099	fff0	153	-16
482	fffd	0000	-3	0
483	fffc	0001	-4	1
484	fffe	fffd	-2	-3
485	fffe	0003	-2	3
486	ffff	ffff	-1	-1
487	fffd	0001	-3	1
488	fff6	ffe8	-10	-24
489	fffc	ffff	-4	-1
490	fffd	ffff	-3	-1
491	fffe	0000	-2	0
492	fffe	fffc	-2	-4
493	fffc	0004	-4	4
494	fffc	fffd	-4	-3
495	fffe	0000	-2	0
496	ff46	ff7d	-186	-131
497	0148	0065	328	101
498	fffe	ffff	-2	-1
499	fffe	0002	-2	2
500	fffb	fffe	-5	-2
501	ffff	0001	-1	1
502	fffd	0000	-3	0
503	fffc	0000	-4	0
504	00dc	ff5b	220	-165
505	0004	fffc	4	-4
506	fffd	ffff	-3	-1
507	fffd	0001	-3	1
508	0000	ffe6	0	-26
509	fffe	0003	-2	3
510	fffe	fffd	-2	-3
511	fffc	ffff	-4	-1
512	00d8	0126	216	294
513	0075	ffb8	117	-72
514	fffe	0000	-2	0
515	fffe	0003	-2	3
516	fffd	fffd	-3	-3
517	fff9	0006	-7	6
518	fffe	ffff	-2	-1
519	fffe	0001	-2	1
520	ffec	fff6	-20	-10
521	002d	0067	45	103
522	fffe	ffff	-2	-1
523	ffff	0001	-1	1
524	0000	fffd	0	-3
525	ffff	0005	-1	5
526	ffff	ffff	-1	-1
527	fffe	0000	-2	0
528	ff95	ffd1	-107	-47
529	fdf7	00ab	-521	171
530	fffe	0000	-2	0
531	fffe	0003	-2	3
532	ffff	fffd	-1	-3
533	fffa	0004	-6	4
534	fffd	ffff	-3	-1
535	fffd	0000	-3	0
536	001e	0039	30	57
537	0024	0032	36	50
538	fffe	ffff	-2	-1
539	fffd	0000	-3	0
540	0000	fff7	0	-9
541	fffc	0004	-4	4
542	fffd	fffe	-3	-2
543	fffc	0000	-4	0
544	0020	ffb3	32	-77
545	fb90	08b1	-1136	2225
546	fffd	0000	-3	0
547	fffe	0000	-2	0
548	fffd	fffc	-3	-4
549	fff9	000b	-7	11
550	fffe	ffff	-2	-1
551	fffd	0001	-3	1
552	fff9	ffec	-7	-20
553	000f	0019	15	25
554	fffe	ffff	-2	-1
555	fffd	0001	-3	1
556	fffb	fffc	-5	-4
557	0000	0005	0	5
558	fffe	fffe	-2	-2
559	fffd	ffff	-3	-1
560	ff73	009b	-141	155
561	ff16	ffe1	-234	-31
562	fffd	ffff	-3	-1
563	fffe	0000	-2	0
564	fffe	fffd	-2	-3
565	fffc	0000	-4	0
566	fffe	ffff	-2	-1
567	fffc	0000	-4	0
568	0046	ffb4	70	-76
569	0010	ffd6	16	-42
570	fffe	ffff	-2	-1
571	fffd	0000	-3	0
572	fffe	fff7	-2	-9
573	fffc	0001	-4	1
574	fffe	fffe	-2	-2
575	fffc	ffff	-4	-1
576	0149	01e4	329	484
577	fdf0	035b	-528	859
578	fffe	0000	-2	0
579	fffd	0002	-3	2
580	fffe	fffd	-2	-3
581	fffd	0004	-3	4
582	fffe	ffff	-2	-1
583	fffd	0000	-3	0
584	000f	0025	15	37
585	0021	0031	33	49
586	fffe	ffff	-2	-1
587	fffe	0000	-2	0
588	fffa	fffb	-6	-5
589	0000	0001	0	1
590	fffd	fffe	-3	-2
591	fffd	ffff	-3	-1
592	0157	0215	343	533
593	012d	ffb9	301	-71
594	fffe	0000	-2	0
595	fffd	0001	-3	1
596	fffd	fffe	-3	-2
597	ffff	0004	-1	4
598	fffe	fffe	-2	-2
599	fffe	0000	-2	0
600	ffe0	ff94	-32	-108
601	fffe	fff3	-2	-13
602	fffd	ffff	-3	-1
603	ffff	0001	-1	1
604	0000	fffd	0	-3
605	fffd	0002	-3	2
606	fffc	fffe	-4	-2
607	fffd	ffff	-3	-1
608	fff9	fefe	-7	-258
609	0103	fa10	259	-1520
610	fffd	0000	-3	0
611	fffd	0001	-3	1
612	fffe	fffd	-2	-3
