727	0009	fffc	9	-4
728	0023	0029	35	41
729	001f	ffbf	31	-65
730	0009	0002	9	2
731	0009	fffb	9	-5
732	0023	0021	35	33
733	0007	ffee	7	-18
734	000a	0008	10	8
735	0009	fffe	9	-2
736	ff4b	0666	-181	1638
737	ffed	fe45	-19	-443
738	0009	0000	9	0
739	0009	fff8	9	-8
740	0009	000a	9	10
741	000d	ffe8	13	-24
742	0009	0004	9	4
743	0008	fffc	8	-4
744	0001	0024	1	36
745	ffff	001d	-1	29
746	0008	0002	8	2
747	0009	fffa	9	-6
748	0006	000e	6	14
749	000b	fff3	11	-13
750	0009	0006	9	6
751	0008	fffd	8	-3
752	003c	004a	60	74
753	001e	fe99	30	-359
754	0009	0001	9	1
755	0009	fff9	9	-7
756	0006	000c	6	12
757	000f	ffed	15	-19
758	0008	0005	8	5
759	0008	fffe	8	-2
760	0066	ffa4	102	-92
761	001b	ffda	27	-38
762	0008	0003	8	3
763	0009	fffb	9	-5
764	0002	0018	2	24
765	0009	fff6	9	-10
766	0009	0009	9	9
767	0009	ffff	9	-1
768	f868	fec8	-1944	-312
769	f865	0134	-1947	308
770	0009	0000	9	0
771	0009	fff6	9	-10
772	0008	0008	8	8
773	0002	ffe5	2	-27
774	0008	0002	8	2
775	0008	fffb	8	-5
776	001a	0023	26	35
777	0067	005b	103	91
778	0009	0001	9	1
779	0009	fffa	9	-6
780	000e	0011	14	17
781	0007	fff2	7	-14
782	0009	0005	9	5
783	0008	fffd	8	-3
784	001d	0164	29	356
785	003c	ffb2	60	-78
786	0008	0000	8	0
787	0009	fff8	9	-8
788	000a	000a	10	10
789	0006	ffef	6	-17
790	0008	0004	8	4
791	0008	fffd	8	-3
792	0000	ffe1	0	-31
793	0001	ffd8	1	-40
794	0009	0002	9	2
795	0009	fffa	9	-6
796	000d	0015	13	21
797	0009	fff4	9	-12
798	0009	0006	9	6
799	0008	fffe	8	-2
800	ffef	01b6	-17	438
801	ff49	f995	-183	-1643
802	0008	0000	8	0
803	000a	fff6	10	-10
804	0006	000f	6	15
805	0023	ffdc	35	-36
806	0009	0003	9	3
807	0009	fffc	9	-4
808	001f	003e	31	62
809	0024	ffd2	36	-46
810	0009	0001	9	1
811	0009	fffa	9	-6
812	0016	000b	22	11
813	0008	fff5	8	-11
814	0008	0006	8	6
815	0008	ffff	8	-1
816	0067	ff88	103	-120
817	0066	00d2	102	210
818	0009	0000	9	0
819	0008	fff9	8	-7
820	0009	000b	9	11
821	000e	ffe7	14	-25
822	0008	0005	8	5
823	0009	fffc	9	-4
824	ffce	0026	-50	38
825	fff2	ffed	-14	-19
826	0009	0002	9	2
827	0008	fffb	8	-5
828	0003	0015	3	21
829	0007	fff7	7	-9
830	0006	0008	6	8
831	0009	ffff	9	-1
832	feef	0040	-273	64
833	f0e8	08c4	-3864	2244
834	0008	0000	8	0
835	0008	fff8	8	-8
836	0008	0009	8	9
837	0011	ffec	17	-20
838	0008	0003	8	3
839	0009	fffb	9	-5
840	fff7	001b	-9	27
841	00a2	0068	162	104
842	0008	0001	8	1
843	0009	fff9	9	-7
844	0004	000e	4	14
845	000e	fff5	14	-11
846	000a	0004	10	4
847	0009	fffe	9	-2
848	ffc2	ff37	-62	-201
849	002d	ff0f	45	-241
850	0008	0000	8	0
851	0008	fff8	8	-8
852	0009	0006	9	6
853	fff1	ffe7	-15	-25
854	0009	0005	9	5
855	0009	fffd	9	-3
856	ffd1	fffc	-47	-4
857	ffdc	ffc5	-36	-59
858	0009	0002	9	2
859	0009	fffa	9	-6
860	fffb	0018	-5	24
861	0008	fff1	8	-15
862	0009	0006	9	6
863	0008	ffff	8	-1
864	028b	ff57	651	-169
865	00c5	ff39	197	-199
866	0008	0000	8	0
867	0009	fff7	9	-9
868	0009	0009	9	9
869	0008	ffef	8	-17
870	0009	0003	9	3
871	0008	fffc	8	-4
872	000b	00c9	11	201
873	ffb8	ffad	-72	-83
874	0008	0001	8	1
875	0009	fffa	9	-6
876	0006	000e	6	14
877	0009	fff5	9	-11
878	0008	0007	8	7
879	0008	ffff	8	-1
880	0001	ffe3	1	-29
881	005f	ff6d	95	-147
882	0008	0000	8	0
883	0009	fff8	9	-8
884	0007	000b	7	11
885	0004	fff5	4	-11
886	0007	0006	7	6
887	0009	fffe	9	-2
888	fff0	ffe2	-16	-30
889	fffe	fffd	-2	-3
890	0008	0003	8	3
891	0008	fffb	8	-5
892	0010	000c	16	12
893	000a	fff7	10	-9
894	0008	0007	8	7
895	0009	ffff	9	-1
896	fd6e	fe72	-658	-398
897	02d2	fd37	722	-713
898	0009	0000	9	0
899	000e	fff8	14	-8
900	0008	0008	8	8
901	fffb	fff0	-5	-16
902	0009	0003	9	3
903	0008	fffb	8	-5
904	0025	0014	37	20
905	0095	0076	149	118
906	0008	0001	8	1
907	0009	fff9	9	-7
908	0007	0013	7	19
909	0009	fff1	9	-15
910	0008	0005	8	5
911	0008	fffd	8	-3
912	0080	0026	128	38
913	020e	006d	526	109
914	0009	0000	9	0
915	0009	fff8	9	-8
916	0009	0008	9	8
917	0008	fff0	8	-16
918	0008	0004	8	4
919	0008	fffd	8	-3
920	00da	ffbe	218	-66
921	000a	ffc5	10	-59
922	0009	0001	9	1
923	000a	fff9	10	-7
924	0007	000e	7	14
925	0009	fff4	9	-12
926	0007	0007	7	7
927	0008	fffe	8	-2
928	0628	030d	1576	781
929	0107	00c1	263	193
930	0008	0000	8	0
931	0009	fff8	9	-8
932	000c	0008	12	8
933	0006	ffef	6	-17
934	0009	0003	9	3
935	0009	fffc	9	-4
936	002d	0031	45	49
937	0006	ff78	6	-136
938	0009	0001	9	1
939	0009	fffa	9	-6
940	0010	0013	16	19
941	0007	fff2	7	-14
942	0009	0006	9	6
943	0009	fffe	9	-2
944	fe83	ff50	-381	-176
945	ff55	02ea	-171	746
946	0009	0001	9	1
947	0009	fff9	9	-7
948	0008	000a	8	10
949	000e	fff6	14	-10
950	0009	0004	9	4
951	0008	fffd	8	-3
952	0070	00ed	112	237
953	0012	0000	18	0
954	0008	0002	8	2
955	0008	fffb	8	-5
956	0008	000f	8	15
957	000a	fff6	10	-10
958	0004	0009	4	9
959	0008	fffe	8	-2
960	01b0	006b	432	107
961	ff5a	0046	-166	70
962	0008	0000	8	0
963	0007	fff6	7	-10
964	0006	0006	6	6
965	000b	ffea	11	-22
966	0009	0003	9	3
967	0009	fffc	9	-4
968	0022	0009	34	9
969	ffef	002b	-17	43
970	0009	0001	9	1
971	0009	fff9	9	-7
972	000f	000b	15	11
973	0009	fff2	9	-14
974	0008	0005	8	5
975	0008	fffd	8	-3
976	0003	0007	3	7
977	0045	ffca	69	-54
978	0009	0000	9	0
979	0009	fff8	9	-8
980	0009	0009	9	9
981	000c	ffed	12	-19
982	0009	0004	9	4
983	0009	fffd	9	-3
984	0027	000b	39	11
985	0010	ffda	16	-38
986	0008	0002	8	2
987	0008	fffa	8	-6
988	000b	000c	11	12
989	0008	fff3	8	-13
990	000a	0006	10	6
991	0009	fffe	9	-2
992	00a0	0b38	160	2872
993	005f	fedf	95	-289
994	0008	0000	8	0
995	0008	fff6	8	-10
996	0009	0009	9	9
997	0013	ffeb	19	-21
998	0009	0004	9	4
999	0009	fffc	9	-4
1000	0005	001a	5	26
1001	000b	ffd5	11	-43
1002	0009	0001	9	1
1003	0009	fffa	9	-6
1004	fffc	0011	-4	17
1005	0009	fff4	9	-12
1006	0009	0006	9	6
1007	0009	fffe	9	-2
1008	fc62	02cd	-926	717
1009	0045	ffd0	69	-48
1010	0008	0001	8	1
1011	0009	fff9	9	-7
1012	0008	000a	8	10
1013	0005	ffe9	5	-23
1014	0009	0005	9	5
1015	0008	fffd	8	-3
1016	0020	00a2	32	162
1017	000b	ffc2	11	-62
1018	0008	0002	8	2
1019	0009	fffb	9	-5
1020	0010	0014	16	20
1021	000a	fff5	10	-11
1022	0009	000a	9	10
1023	0009	ffff	9	-1
